In real time|People who come|People in queue(first/second)|People who left|Transported People|Gondola status
(7, 3, 45)|0|[0, 0]|2|6|status.moving
(7, 3, 46)|0|[0, 0]|2|6|status.moving
(7, 3, 47)|0|[0, 0]|2|6|status.moving
(7, 3, 48)|0|[0, 0]|2|6|status.moving
(7, 3, 49)|0|[0, 0]|2|6|status.moving
(7, 3, 50)|0|[0, 0]|2|6|status.moving
(7, 3, 51)|0|[0, 0]|2|6|status.moving
(7, 3, 52)|0|[0, 0]|2|6|status.moving
(7, 3, 53)|0|[0, 0]|2|6|status.moving
(7, 3, 54)|0|[0, 0]|2|6|status.moving
(7, 3, 55)|0|[0, 0]|2|6|status.moving
(7, 3, 56)|0|[0, 0]|2|6|status.moving
(7, 3, 57)|0|[0, 0]|2|6|status.moving
(7, 3, 58)|0|[0, 0]|2|6|status.moving
(7, 3, 59)|0|[0, 0]|2|6|status.moving
(7, 4, 0)|0|[0, 0]|2|6|status.moving
(7, 4, 1)|0|[0, 0]|2|6|status.moving
(7, 4, 2)|0|[0, 0]|2|6|status.moving
(7, 4, 3)|0|[0, 0]|2|6|status.moving
(7, 4, 4)|0|[0, 0]|2|6|status.moving
(7, 4, 5)|0|[0, 0]|2|6|status.moving
(7, 4, 6)|0|[0, 0]|2|6|status.moving
(7, 4, 7)|0|[0, 0]|2|6|status.moving
(7, 4, 8)|0|[0, 0]|2|6|status.moving
(7, 4, 9)|0|[0, 0]|2|6|status.moving
(7, 4, 10)|0|[0, 0]|2|6|status.moving
(7, 4, 11)|0|[0, 0]|2|6|status.moving
(7, 4, 12)|0|[0, 0]|2|6|status.moving
(7, 4, 13)|0|[0, 0]|2|6|status.moving
(7, 4, 14)|0|[0, 0]|2|6|status.moving
(7, 4, 15)|0|[0, 0]|2|6|status.moving
(7, 4, 16)|0|[0, 0]|2|6|status.moving
(7, 4, 17)|0|[0, 0]|2|6|status.moving
(7, 4, 18)|0|[0, 0]|2|6|status.moving
(7, 4, 19)|0|[0, 0]|2|6|status.moving
(7, 4, 20)|0|[0, 0]|2|6|status.moving
(7, 4, 21)|0|[0, 0]|2|6|status.moving
(7, 4, 22)|0|[0, 0]|2|6|status.moving
(7, 4, 23)|0|[0, 0]|2|6|status.moving
(7, 4, 24)|0|[0, 0]|2|6|status.moving
(7, 4, 25)|0|[0, 0]|2|6|status.moving
(7, 4, 26)|0|[0, 0]|2|6|status.moving
(7, 4, 27)|0|[0, 0]|2|6|status.moving
(7, 4, 28)|0|[0, 0]|2|6|status.moving
(7, 4, 29)|0|[0, 0]|2|6|status.moving
(7, 4, 30)|0|[0, 0]|2|6|status.moving
(7, 4, 31)|0|[0, 0]|2|6|status.moving
(7, 4, 32)|1|[0, 1]|2|6|status.moving
(7, 4, 33)|0|[0, 1]|2|6|status.moving
(7, 4, 34)|1|[0, 2]|2|6|status.moving
(7, 4, 35)|0|[0, 2]|2|6|status.moving
(7, 4, 36)|0|[0, 2]|2|6|status.moving
(7, 4, 37)|0|[0, 2]|2|6|status.moving
(7, 4, 38)|0|[0, 2]|2|6|status.moving
(7, 4, 39)|0|[0, 2]|2|6|status.moving
(7, 4, 40)|0|[0, 2]|2|6|status.moving
(7, 4, 41)|0|[0, 2]|2|6|status.moving
(7, 4, 42)|0|[0, 2]|2|6|status.moving
(7, 4, 43)|0|[0, 2]|2|6|status.moving
(7, 4, 44)|0|[0, 2]|2|6|status.moving
(7, 4, 45)|0|[0, 2]|2|6|status.moving
(7, 4, 46)|0|[0, 2]|2|6|status.moving
(7, 4, 47)|0|[0, 2]|2|6|status.moving
(7, 4, 48)|0|[0, 2]|2|6|status.moving
(7, 4, 49)|0|[0, 2]|2|6|status.moving
(7, 4, 50)|0|[0, 2]|2|6|status.moving
(7, 4, 51)|0|[0, 2]|2|6|status.moving
(7, 4, 52)|0|[0, 2]|2|6|status.moving
(7, 4, 53)|0|[0, 2]|2|6|status.moving
(7, 4, 54)|0|[0, 2]|2|6|status.moving
(7, 4, 55)|0|[0, 2]|2|6|status.moving
(7, 4, 56)|0|[0, 2]|2|6|status.moving
(7, 4, 57)|0|[0, 2]|2|6|status.moving
(7, 4, 58)|0|[0, 2]|2|6|status.moving
(7, 4, 59)|0|[0, 2]|2|6|status.moving
(7, 5, 0)|0|[0, 2]|2|6|status.moving
(7, 5, 1)|0|[0, 2]|2|6|status.moving
(7, 5, 2)|0|[0, 2]|2|6|status.moving
(7, 5, 3)|0|[0, 2]|2|6|status.moving
(7, 5, 4)|0|[0, 2]|2|6|status.moving
(7, 5, 5)|0|[0, 2]|2|6|status.moving
(7, 5, 6)|0|[0, 2]|2|6|status.moving
(7, 5, 7)|0|[0, 2]|2|6|status.moving
(7, 5, 8)|0|[0, 2]|2|6|status.moving
(7, 5, 9)|0|[0, 2]|2|6|status.moving
(7, 5, 10)|0|[0, 2]|2|6|status.moving
(7, 5, 11)|0|[0, 2]|2|6|status.moving
(7, 5, 12)|0|[0, 2]|2|6|status.moving
(7, 5, 13)|0|[0, 2]|2|6|status.moving
(7, 5, 14)|0|[0, 2]|2|6|status.moving
(7, 5, 15)|0|[0, 2]|2|6|status.moving
(7, 5, 16)|0|[0, 2]|2|6|status.moving
(7, 5, 17)|0|[0, 2]|2|6|status.moving
(7, 5, 18)|0|[0, 2]|2|6|status.moving
(7, 5, 19)|0|[0, 2]|2|6|status.moving
(7, 5, 20)|0|[0, 2]|2|6|status.moving
(7, 5, 21)|0|[0, 2]|2|6|status.moving
(7, 5, 22)|0|[0, 2]|2|6|status.moving
(7, 5, 23)|0|[0, 2]|2|6|status.moving
(7, 5, 24)|0|[1, 2]|2|6|status.moving
(7, 5, 25)|0|[1, 2]|2|6|status.moving
(7, 5, 26)|0|[1, 2]|2|6|status.moving
(7, 5, 27)|0|[1, 2]|2|6|status.moving
(7, 5, 28)|0|[1, 2]|2|6|status.moving
(7, 5, 29)|0|[1, 2]|2|6|status.moving
(7, 5, 30)|0|[1, 2]|2|6|status.moving
(7, 5, 31)|0|[1, 2]|2|6|status.moving
(7, 5, 32)|0|[1, 2]|2|6|status.moving
(7, 5, 33)|0|[1, 2]|2|6|status.moving
(7, 5, 34)|0|[1, 2]|2|6|status.moving
(7, 5, 35)|0|[1, 2]|2|6|status.moving
(7, 5, 36)|0|[1, 2]|2|6|status.moving
(7, 5, 37)|0|[1, 2]|2|6|status.moving
(7, 5, 38)|0|[1, 2]|2|6|status.moving
(7, 5, 39)|0|[1, 2]|2|6|status.moving
(7, 5, 40)|0|[1, 2]|2|6|status.moving
(7, 5, 41)|0|[1, 2]|2|6|status.moving
(7, 5, 42)|0|[1, 2]|2|6|status.moving
(7, 5, 43)|0|[1, 2]|2|6|status.moving
(7, 5, 44)|0|[1, 2]|2|6|status.moving
(7, 5, 45)|0|[1, 2]|2|6|status.moving
(7, 5, 46)|0|[1, 2]|2|6|status.moving
(7, 5, 47)|0|[1, 2]|2|6|status.moving
(7, 5, 48)|0|[1, 2]|2|6|status.moving
(7, 5, 49)|0|[1, 2]|2|6|status.moving
(7, 5, 50)|0|[1, 2]|2|6|status.moving
(7, 5, 51)|0|[1, 2]|2|6|status.moving
(7, 5, 52)|0|[1, 2]|2|6|status.moving
(7, 5, 53)|0|[1, 2]|2|6|status.moving
(7, 5, 54)|0|[1, 2]|2|6|status.moving
(7, 5, 55)|0|[1, 2]|2|6|status.moving
(7, 5, 56)|0|[1, 1]|3|6|status.moving
(7, 5, 57)|0|[1, 1]|3|6|status.moving
(7, 5, 58)|0|[1, 1]|3|6|status.moving
(7, 5, 59)|0|[1, 1]|3|6|status.moving
(7, 6, 0)|0|[1, 1]|3|6|status.moving
(7, 6, 1)|0|[1, 1]|3|6|status.moving
(7, 6, 2)|0|[1, 1]|3|6|status.moving
(7, 6, 3)|0|[1, 1]|3|6|status.moving
(7, 6, 4)|0|[1, 1]|3|6|status.moving
(7, 6, 5)|0|[1, 1]|3|6|status.moving
(7, 6, 6)|0|[1, 0]|4|6|status.moving
(7, 6, 7)|0|[2, 0]|4|6|status.moving
(7, 6, 8)|0|[2, 0]|4|6|status.moving
(7, 6, 9)|0|[2, 0]|4|6|status.moving
(7, 6, 10)|0|[2, 0]|4|6|status.moving
(7, 6, 11)|0|[2, 0]|4|6|status.moving
(7, 6, 12)|0|[2, 0]|4|6|status.moving
(7, 6, 13)|0|[2, 0]|4|6|status.moving
(7, 6, 14)|0|[2, 0]|4|6|status.moving
(7, 6, 15)|0|[2, 0]|4|6|status.moving
(7, 6, 16)|0|[2, 0]|4|6|status.moving
(7, 6, 17)|0|[3, 0]|4|6|status.moving
(7, 6, 18)|0|[3, 0]|4|6|status.moving
(7, 6, 19)|0|[3, 0]|4|6|status.moving
(7, 6, 20)|1|[3, 1]|4|6|status.moving
(7, 6, 21)|0|[3, 1]|4|8|status.waiting
(7, 6, 22)|0|[1, 0]|4|8|status.moving
(7, 6, 23)|0|[1, 0]|4|8|status.moving
(7, 6, 24)|0|[1, 0]|4|8|status.moving
(7, 6, 25)|0|[1, 0]|4|8|status.moving
(7, 6, 26)|0|[1, 0]|4|8|status.moving
(7, 6, 27)|0|[1, 0]|4|8|status.moving
